uri,label
http://vivo.ufl.edu/individual/n53549,Columbia Presbyterian Medical Center
http://vivo.ufl.edu/individual/n328020,IEEE Transactions on Medical Imaging
http://vivo.ufl.edu/individual/n60889,Institute of Food Sciences (Cornell University)
http://vivo.ufl.edu/individual/n153649197,Herman Eye Fund
http://vivo.ufl.edu/individual/n307496274,Florida Dairy Farmers Association
http://vivo.ufl.edu/individual/n25688,Daytona Beach Community College
http://vivo.ufl.edu/individual/n57948,"Health, Physical Education and Recreation (Florida International University)"
http://vivo.ufl.edu/individual/n1473589880,Noel-Levitz
http://vivo.ufl.edu/individual/n130884,Clinical Pharmacology Analytical Facility (University of Pittsburgh)
http://vivo.ufl.edu/individual/n3062267279,Agriculture Facilities Administration Mgt Corporation
http://vivo.ufl.edu/individual/n6298167625,American Society for Clinical Investigation
http://vivo.ufl.edu/individual/n6025680196,National Retinitis Pigmentosa Foundation
http://vivo.ufl.edu/individual/n3017890655,Chemimage Corporation
http://vivo.ufl.edu/individual/n67703,Florida Electroacoustic Music Festival
http://vivo.ufl.edu/individual/n366884,Borland Library
http://vivo.ufl.edu/individual/n7921905931,Preston Publishers Inc
http://vivo.ufl.edu/individual/n1738393795,National Operations Committee on Standards for Athletic Equipment
http://vivo.ufl.edu/individual/n5986480859,Miracle Fruit Exchange
http://vivo.ufl.edu/individual/n4988915999,Onyx Pharmaceuticals
http://vivo.ufl.edu/individual/n667604118,Cervical Spine Research Society
http://vivo.ufl.edu/individual/n5769120917,International Retinal Research Foundation
http://vivo.ufl.edu/individual/n8658245840,Florida Citrus Production Research Advisory Council
http://vivo.ufl.edu/individual/n153157,NICHD Reproductive Medicine Network
http://vivo.ufl.edu/individual/n103399,Massachusetts Appeals Court
http://vivo.ufl.edu/individual/n96822296,Childrens Hospital Seattle
http://vivo.ufl.edu/individual/n93695,Tong Liao Medical College
http://vivo.ufl.edu/individual/n8273378407,Alion Science and Technology
http://vivo.ufl.edu/individual/n165242,UF Health - Crossroads
http://vivo.ufl.edu/individual/n44850,Communicative Disorders (Northwestern University)
http://vivo.ufl.edu/individual/n1674003147,Florida Agriculture Conference and Trade Show
http://vivo.ufl.edu/individual/n2550191479,International Society on Hypertension in Blacks
http://vivo.ufl.edu/individual/n83577,American Public Works Association
http://vivo.ufl.edu/individual/n803760352,National Institute of Building Sciences
http://vivo.ufl.edu/individual/n9828400285,Science Press
http://vivo.ufl.edu/individual/n9358287993,Viraquest
http://vivo.ufl.edu/individual/n39180,University of Southern Denmark Exchange Program
http://vivo.ufl.edu/individual/n132606813,Fak Inhibitors
http://vivo.ufl.edu/individual/n19758,Center for Community Health Research (DCHD)  
http://vivo.ufl.edu/individual/n16436,Los Angeles County Paramedic Institute
http://vivo.ufl.edu/individual/n65741,CTSI Biorepository
http://vivo.ufl.edu/individual/n262266122,John Templeton Foundation
http://vivo.ufl.edu/individual/n5342559695,Environmental Research and Education Foundation
http://vivo.ufl.edu/individual/n1433854749,Chiari and Syringomyelia Foundation
http://vivo.ufl.edu/individual/n189919917,Mayo Foundation for Medical Education and Research
http://vivo.ufl.edu/individual/n93154,"The Animal Virus Research Institute, Pirbright"
http://vivo.ufl.edu/individual/n7605055780,Neotropical Conservation and Development Fund
http://vivo.ufl.edu/individual/n4681999122,US Bioplastics
http://vivo.ufl.edu/individual/n136830,Mass Communications
http://vivo.ufl.edu/individual/n1278122,Tropical Research and Education Center
http://vivo.ufl.edu/individual/n236224,"Gainesville Internal Medicine Physicians, Gainesville, Florida"
http://vivo.ufl.edu/individual/n392270151,Merck and Company Inc Research Lab
http://vivo.ufl.edu/individual/n118092,"Fidelity Investments, Inc."
http://vivo.ufl.edu/individual/n162226,Springer
http://vivo.ufl.edu/individual/n238499,Linguistics (University of Toronto)
http://vivo.ufl.edu/individual/n1417643959,Walton County School District
http://vivo.ufl.edu/individual/n38159,Peking Union Medical College
http://vivo.ufl.edu/individual/n103333,Arnold & Porter
http://vivo.ufl.edu/individual/n31029,College of Education (Towson State University)
http://vivo.ufl.edu/individual/n591937308,Prometheus Laboratories
http://vivo.ufl.edu/individual/n26212,NASA IR Telescope
http://vivo.ufl.edu/individual/n8913864268,Biota Neotropica
http://vivo.ufl.edu/individual/n602402693,Hesperion US
http://vivo.ufl.edu/individual/n3573836557,Hesiod and Associates
http://vivo.ufl.edu/individual/n137174,Winston and Strawn
http://vivo.ufl.edu/individual/n92347,National Institute for Medical Research
http://vivo.ufl.edu/individual/n51728,"Water Quality Laboratory  (Heidelberg College, Ohio)"
http://vivo.ufl.edu/individual/n1658439150,St Jude Medical Cardiac Rhythm Management Division
http://vivo.ufl.edu/individual/n1853735113,Florida Planning and Zoning Association
http://vivo.ufl.edu/individual/n113445,Special Libraries Association
http://vivo.ufl.edu/individual/n2760323038,Mednova (Usa) Inc
http://vivo.ufl.edu/individual/n64458,Caribbean Health Management Consultants
http://vivo.ufl.edu/individual/n27693,Sports Medicine Research Laboratory
http://vivo.ufl.edu/individual/n9204899985,American Economic Association
http://vivo.ufl.edu/individual/n1095375915,General Imaging Corporation
http://vivo.ufl.edu/individual/n5467265306,Society of Vertebrate Paleontology
http://vivo.ufl.edu/individual/n2983626666,Nabi
http://vivo.ufl.edu/individual/n33501,Kyoto Institute of Technology
http://vivo.ufl.edu/individual/n33319,"Emergency Medicine Residency Program, Lehigh Valley Hospital"
http://vivo.ufl.edu/individual/n3049362268,Aijinomoto Company
http://vivo.ufl.edu/individual/n4336265581,R and D Laboratories
http://vivo.ufl.edu/individual/n1887430425,Bank of America
http://vivo.ufl.edu/individual/n1528618691,Botanocap
http://vivo.ufl.edu/individual/n13271,Associated Industries of Florida
http://vivo.ufl.edu/individual/n116744,"Glenn Acomb Associates, Inc"
http://vivo.ufl.edu/individual/n23523,University of Alabama Birmingham
http://vivo.ufl.edu/individual/n1974116305,British Cattle Veterinary Association
http://vivo.ufl.edu/individual/n294376,Fairview Park Hospital
http://vivo.ufl.edu/individual/n8926432544,Emerald Group Publishing Limited
http://vivo.ufl.edu/individual/n105744,University of Waterloo
http://vivo.ufl.edu/individual/n7910264539,Korea Institute of Energy Research
http://vivo.ufl.edu/individual/n99711,Institute of Public Policy Studies (University of Michigan)
http://vivo.ufl.edu/individual/n7036853476,Wings for Life Spinal Cord Research Foundation
http://vivo.ufl.edu/individual/n177025283,Association of Directors of Geriatrics Academic Programs
http://vivo.ufl.edu/individual/n53655,"London University, London, England"
http://vivo.ufl.edu/individual/n4723985355,Spanusa Inc
http://vivo.ufl.edu/individual/n117084,St. Charles Hospital Pain Management Center
http://vivo.ufl.edu/individual/n9301048389,Danisco (Uk) Limited
http://vivo.ufl.edu/individual/n29029,Department of Molecular Biology (Princeton)
http://vivo.ufl.edu/individual/n44079,"Children's Hospital of Boston, Informatics Program"
http://vivo.ufl.edu/individual/n104743,Society for Basic Urologic Research
http://vivo.ufl.edu/individual/n2147582014,Korean Institute of Chemical Engineers
http://vivo.ufl.edu/individual/n984368481,Pathfinder Therapeutics
http://vivo.ufl.edu/individual/n8676178516,Children's Cancer Research Fund
http://vivo.ufl.edu/individual/n128505,State University of New York at Oneonta
http://vivo.ufl.edu/individual/n1315624640,Eoir Technologies Inc
http://vivo.ufl.edu/individual/n27076,Marion County School Board
http://vivo.ufl.edu/individual/n166431,Department of Otolarynology at Emory University
http://vivo.ufl.edu/individual/n8378588228,Humana Press Inc
http://vivo.ufl.edu/individual/n4949131231,Ross Laboratories
http://vivo.ufl.edu/individual/n44550,"Office of Naval Research, London"
http://vivo.ufl.edu/individual/n285447,Laval University 
http://vivo.ufl.edu/individual/n4843072625,Enterprise Florida Alachua/Bradford Jep
http://vivo.ufl.edu/individual/n702830787,Jupiter Inlet District
http://vivo.ufl.edu/individual/n105113,Haitian Summer Institute
http://vivo.ufl.edu/individual/n119212,Craniofacial Center
http://vivo.ufl.edu/individual/n4549403769,Solopower
http://vivo.ufl.edu/individual/n9510135260,Grower-Shipper Vegetable Association
http://vivo.ufl.edu/individual/n4704794009,Fundaco Oswaldo Cruz
http://vivo.ufl.edu/individual/n3632202474,Optech Inc International
http://vivo.ufl.edu/individual/n77603,"Polytechnic University, Bucharest"
http://vivo.ufl.edu/individual/n6581162066,Pc-Age Systems Inc
http://vivo.ufl.edu/individual/n1755580055,Classics
http://vivo.ufl.edu/individual/n8261418679,Teaching Research Institute
http://vivo.ufl.edu/individual/n499307,Pennsylvania Department of Health
http://vivo.ufl.edu/individual/n20847,H. Lee Moffit Cancer Center and Research Institute
http://vivo.ufl.edu/individual/n9013207546,Florida Chamber of Commerce Foundation
http://vivo.ufl.edu/individual/n9255898648,Florida Citrus Mutual
http://vivo.ufl.edu/individual/n36808,University of Florida - Task Force on Information Technology Resources
http://vivo.ufl.edu/individual/n2275239444,Hardardt Group
http://vivo.ufl.edu/individual/n298525600,Lutonix
http://vivo.ufl.edu/individual/n1418007653,Tirc Energy Engineering
http://vivo.ufl.edu/individual/n186562,Journalism and Communications
http://vivo.ufl.edu/individual/n332370,American Society for Engineering Education
http://vivo.ufl.edu/individual/n2065582812,Pioneer Hi-Bred International
http://vivo.ufl.edu/individual/n6851503731,Snack Food Association
http://vivo.ufl.edu/individual/n2098108534,Mary and Robert Pew Public Education Fund
http://vivo.ufl.edu/individual/n8476559399,Broadcast Arts Group Inc
http://vivo.ufl.edu/individual/n1278123,Aquatic Animal Health
http://vivo.ufl.edu/individual/n81962,"River Garden Hebrew Home for the Aged (Jacksonville, Florida)"
http://vivo.ufl.edu/individual/n48264,Division of Cardiovascular & Thoracic Surgery (University of South Florida College of Medicine)
http://vivo.ufl.edu/individual/n437432,New Student and Family Programs
http://vivo.ufl.edu/individual/n7643841579,Aerospace Corporation
http://vivo.ufl.edu/individual/n140338,"New Jersey Institute of Technology, Particle Processing Research Center"
http://vivo.ufl.edu/individual/n4025348623,Satellite Healthcare Research
http://vivo.ufl.edu/individual/n686602148,Mars
http://vivo.ufl.edu/individual/n121272,United States Supreme Court
http://vivo.ufl.edu/individual/n180908,Language over the Lifespan Lab
http://vivo.ufl.edu/individual/n852930245,Bitwave Semiconductor Inc
http://vivo.ufl.edu/individual/n254138,Marine Corps
http://vivo.ufl.edu/individual/n3869985882,Lupus Clinical Trials Consortium
http://vivo.ufl.edu/individual/n7409845646,Acoustical Society of America
http://vivo.ufl.edu/individual/n3199258839,Parker Hughes Institute
http://vivo.ufl.edu/individual/n164493,"Clinical Epidemiology and Health Services Research (Veterans' Administration Medical Center, Durham, NC) "
http://vivo.ufl.edu/individual/n93776,Hearing and Speech Sciences (University of Maryland at College Park)
http://vivo.ufl.edu/individual/n61917,Friedrich Wilhelm University
http://vivo.ufl.edu/individual/n1019461154,Society of Chilena Ciencia Suelo
http://vivo.ufl.edu/individual/n9534257463,Diabetes Research and Education Foundation
http://vivo.ufl.edu/individual/n8050937724,Lockheed Martin Sanders Inc
http://vivo.ufl.edu/individual/n87344,UF Health - Southside
http://vivo.ufl.edu/individual/n239062,UF Health - Beaches
http://vivo.ufl.edu/individual/n93416,Civil and Environmental Engineering (Texas Tech University)
http://vivo.ufl.edu/individual/n20181,Royal College
http://vivo.ufl.edu/individual/n9528850680,Reedy Creek Utilities
http://vivo.ufl.edu/individual/n77346208,Jefferson County Extension Office
http://vivo.ufl.edu/individual/n6905853402,Friends of Rookery Bay
http://vivo.ufl.edu/individual/n145784,Indiana University of Pennsylvania
http://vivo.ufl.edu/individual/n445243686,International Association for Energy Economics
http://vivo.ufl.edu/individual/n3879403230,Wakulla County
http://vivo.ufl.edu/individual/n26182259,Kansas State University
http://vivo.ufl.edu/individual/n9302121785,Rusticas Del Guadalquivir S A
http://vivo.ufl.edu/individual/n892885558,Phairson Medical
http://vivo.ufl.edu/individual/n5773060844,Pakistan Botanical Society
http://vivo.ufl.edu/individual/n243929,Economics (University of Wisconsin)
http://vivo.ufl.edu/individual/n51403,Miami-Dade Community College
http://vivo.ufl.edu/individual/n162558,"Florida State London Study Centre, England"
http://vivo.ufl.edu/individual/n1476654083,Regional Planning Council North Central Florida
http://vivo.ufl.edu/individual/n523308249,Cfd Research Corporation
http://vivo.ufl.edu/individual/n748668584,Chelonian Research Foundation
http://vivo.ufl.edu/individual/n6119527161,Asme-American Society Mechanical Eng
http://vivo.ufl.edu/individual/n57830,FEAGRI Unicamp Brazil
http://vivo.ufl.edu/individual/n150565,Communicative Disorders Committee
http://vivo.ufl.edu/individual/n5927917925,Center for International Forestry Research
http://vivo.ufl.edu/individual/n172259,Scanning & Scoring
http://vivo.ufl.edu/individual/n7243742074,Intersil Corporation
http://vivo.ufl.edu/individual/n1742759512,Finsbury Orthopaedics
http://vivo.ufl.edu/individual/n72422,Covington & Burling
http://vivo.ufl.edu/individual/n100989,Biomedical Engineering (University of North Carolina at Chapel Hill)
http://vivo.ufl.edu/individual/n126846,Price Waterhouse
http://vivo.ufl.edu/individual/n30593,William Beaumont Army Medical Center
http://vivo.ufl.edu/individual/n39341,Cable News Network
http://vivo.ufl.edu/individual/n788545795,Program for Appropriate Technology In Health
http://vivo.ufl.edu/individual/n8985343957,Sage Publications Ltd
http://vivo.ufl.edu/individual/n194819,College of Nursing PhD Program Review Task Force
http://vivo.ufl.edu/individual/n199649,National Library of Medicine
http://vivo.ufl.edu/individual/n335256081,National Center for Research Resources
http://vivo.ufl.edu/individual/n53873,Mayo Clinic College of Medicine
http://vivo.ufl.edu/individual/n595701813,Community Medical Center
http://vivo.ufl.edu/individual/n3395814829,Institute Histol Embriol-Conicet
http://vivo.ufl.edu/individual/n352059684,Ilsi North America
http://vivo.ufl.edu/individual/n402648484,The Brod Group
http://vivo.ufl.edu/individual/n23904,"Surgery (University Hospital, Rome, Italy)"
http://vivo.ufl.edu/individual/n434427017,Mainstream Engineering
http://vivo.ufl.edu/individual/n193658928,Raptor Research Foundation Inc
http://vivo.ufl.edu/individual/n148591,Hermann Hospital
http://vivo.ufl.edu/individual/n7125750215,S and C Electric Company
http://vivo.ufl.edu/individual/n63750,El Tigre International Schools
http://vivo.ufl.edu/individual/n126536,Center for Landscape Conservation and Ecology
http://vivo.ufl.edu/individual/n1043381605,Diamonion Diagnostics
http://vivo.ufl.edu/individual/n5697634308,Veterinary Information Network
http://vivo.ufl.edu/individual/n6591429970,National Vitiligo Foundation
http://vivo.ufl.edu/individual/n94256,University of Puget Sound
http://vivo.ufl.edu/individual/n6351924529,Ao Asif Research Commission
http://vivo.ufl.edu/individual/n98996,Sport & Exercise Science (Stetson University)
http://vivo.ufl.edu/individual/n252336,Animas Surgical Hospital
http://vivo.ufl.edu/individual/n198163,"Jawaharlal Institute for Postgraduate Medical Education and Research (University of Madras, India)"
http://vivo.ufl.edu/individual/n1101001423,American College of Healthcare Executives
http://vivo.ufl.edu/individual/n481239,Outreach Engineering Management Professional Master's Program
http://vivo.ufl.edu/individual/n46509,"Universidad Nacional de la Amazonia Peruana. Iquitos, Peru"
http://vivo.ufl.edu/individual/n1300035161,B. Braun Medical Inc
http://vivo.ufl.edu/individual/n37543,Medical Education Master’s Degree Concentration (University of Michigan)
http://vivo.ufl.edu/individual/n445939856,Multicultural and Diversity Affairs
http://vivo.ufl.edu/individual/n41107,Stevens Institute of Technology
http://vivo.ufl.edu/individual/n99963,Qufu Normal University
http://vivo.ufl.edu/individual/n4611467371,National Spasmodic Dysphonia Association
http://vivo.ufl.edu/individual/n2715097852,Mexican Association of Hepatology
http://vivo.ufl.edu/individual/n5594633335,Int Institute Anticancer Research
http://vivo.ufl.edu/individual/n91059,University of Massachusetts at Lowell
http://vivo.ufl.edu/individual/n985468,UF Health - Haile Plantation
http://vivo.ufl.edu/individual/n215366,Computer Science (University of Costa Rica)
http://vivo.ufl.edu/individual/n9900882209,Gale-Tec Engineering Inc
http://vivo.ufl.edu/individual/n38746,International Journal of Music Education
http://vivo.ufl.edu/individual/n116657,Anesthesia Associates of East Tennessee
http://vivo.ufl.edu/individual/n213476946,Geni Herbs
http://vivo.ufl.edu/individual/n125752,University of Hong Kong
http://vivo.ufl.edu/individual/n1943527899,Lockheed Martin
http://vivo.ufl.edu/individual/n842560,Westview Press
http://vivo.ufl.edu/individual/n163186,"Veterans Administration Hospital (Gainesville, FL)"
http://vivo.ufl.edu/individual/n123112,"Operating Room Committee, Shands Teaching Hospital"
http://vivo.ufl.edu/individual/n240682,University Paulista (Brazil)
http://vivo.ufl.edu/individual/n111905,Northport VA Medical Center
http://vivo.ufl.edu/individual/n72949,Mt. Carmel Epilepsy Center
http://vivo.ufl.edu/individual/n81298,Indiana University School of Medicine
http://vivo.ufl.edu/individual/n1997492079,Sanofi-Synthelabo Research US
http://vivo.ufl.edu/individual/n132025,Georgia Tech Engineering Experiment Station
http://vivo.ufl.edu/individual/n829645451,National Cattlemens Beef Association
http://vivo.ufl.edu/individual/n70464,International Trade Law Program
http://vivo.ufl.edu/individual/n58822,University of Southern Denmark
http://vivo.ufl.edu/individual/n53514,"Milgrim, Thomajan & Lee P.C."
http://vivo.ufl.edu/individual/n439467714,Building Academy Geriatric Nursing Capacity
http://vivo.ufl.edu/individual/n3338038752,Glades Crop Care Inc
http://vivo.ufl.edu/individual/n2138671167,Globespan Virata
http://vivo.ufl.edu/individual/n6965057763,Wellspring Advisors
http://vivo.ufl.edu/individual/n322243115,United Biosource
http://vivo.ufl.edu/individual/n41618,Florida Department of Health and Rehabilitative Services
http://vivo.ufl.edu/individual/n2620895530,Fertin A/S
http://vivo.ufl.edu/individual/n114993,Arizona Disease Control Research Commission
http://vivo.ufl.edu/individual/n315229428,"Academy of Sciences of the Czech Republic, Institute of Mathematics"
http://vivo.ufl.edu/individual/n1086929862,Chiang Ching-Kuo Foundation
http://vivo.ufl.edu/individual/n48988,Caribbean Invasive Species Working Group
http://vivo.ufl.edu/individual/n16725,"Diagnostic and Therapeutic Assessment Program, American Medical Association"
http://vivo.ufl.edu/individual/n4723776327,Schwabe Pharmaceuticals
http://vivo.ufl.edu/individual/n687001593,Covance Inc
http://vivo.ufl.edu/individual/n9458896241,Usg Corporation
http://vivo.ufl.edu/individual/n32260,Chemistry
http://vivo.ufl.edu/individual/n886232426,Broward Regional Health Planning Council
http://vivo.ufl.edu/individual/n4341941636,Environmental History
http://vivo.ufl.edu/individual/n43899,Simulation Center
http://vivo.ufl.edu/individual/n56010,Babcock Industries
http://vivo.ufl.edu/individual/n7607536083,Okaloosa Walton College
http://vivo.ufl.edu/individual/n4200936606,National Emergency Medicine Association
http://vivo.ufl.edu/individual/n56093,Psychiatric Hospital at Fundacao
http://vivo.ufl.edu/individual/n154758288,Custom Manufacturing and Eng
http://vivo.ufl.edu/individual/n2409594337,Medieval Academy of America
http://vivo.ufl.edu/individual/n3018959439,Zetetic Research
http://vivo.ufl.edu/individual/n119378,Calvin College
http://vivo.ufl.edu/individual/n1717786351,American Society Enology Viticulture
http://vivo.ufl.edu/individual/n8422723920,Celunol
http://vivo.ufl.edu/individual/n54779,US Air Force
http://vivo.ufl.edu/individual/n131152,Iwate Medical College
http://vivo.ufl.edu/individual/n976022901,Swift Technical Services
http://vivo.ufl.edu/individual/n160935,Association of American Medical Colleges
http://vivo.ufl.edu/individual/n6334514108,Springer Japan Kk
http://vivo.ufl.edu/individual/n1428680296,US Air Force Tyndall Air Force Base
http://vivo.ufl.edu/individual/n901249626,Risk Management Collaborative
http://vivo.ufl.edu/individual/n50315,VIVO Collaboration
http://vivo.ufl.edu/individual/n7387089922,Plenum Publishing Corporation
http://vivo.ufl.edu/individual/n4187430601,Associates of Cape Cod Inc
http://vivo.ufl.edu/individual/n49407,Monmouth Medical Center
http://vivo.ufl.edu/individual/n44136,"Internal Medicine (Marmara University School of Medicine, Istanbul, Turkey)"
http://vivo.ufl.edu/individual/n7792131946,Rockwell International Corporation Semiconductor Systems
http://vivo.ufl.edu/individual/n1111644996,National Water Research Institute
