uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n9338997878,0022-541X,Journal of Wildlife Management,"Estimating Occupancy Dynamics in An Anuran Assemblage From Louisiana, Usa"
http://vivo.ufl.edu/individual/n753137887,0749-0208,Journal of Coastal Research,Sea-Level Acceleration Based On Us Tide Gauges and Extensions of Previous Global-Gauge Analyses
http://vivo.ufl.edu/individual/n5439482742,0146-4760,Journal of Analytic Toxicology,"Ethyl Glucuronide, Ethyl Sulfate, and Ethanol in Urine After Sustained Exposure To An Ethanol-Based Hand Sanitizer"
http://vivo.ufl.edu/individual/n398371519,0950-9232,Oncogene,Two Novel Brm Insertion Promoter Sequence Variants Are Associated With Loss of Brm Expression and Lung Cancer Risk
http://vivo.ufl.edu/individual/n5760802780,0065-7727,Abstracts of Papers of the American Chemical Society,Photoinduced Charge Transfer in Functionalized Nanostructures
http://vivo.ufl.edu/individual/n7482428531,0045-5067,Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere,Comparing Selection System and Diameter-Limit Cutting in Uneven-Aged Northern Hardwoods Using Computer Simulation
http://vivo.ufl.edu/individual/n2074218719,1099-0062,Electrochemical and Solid State Letters,Effect of Coated Platinum Thickness On Hydrogen Detection Sensitivity of Graphene-Based Sensors
http://vivo.ufl.edu/individual/n7093863235,1936-5209,Journal of Plant Registrations,Registration of `Cpcl 99-4455' Sugarcane
http://vivo.ufl.edu/individual/n8411880149,0264-0473,Electronic Library,"A Water Conservation Digital, Library Using Ontologies"
http://vivo.ufl.edu/individual/n8330298835,0950-382X,Molecular microbiology,Circuitry Linking the Csr and Stringent Response Global Regulatory Systems
http://vivo.ufl.edu/individual/n2874193213,0897-1889,Journal of Digital Imaging,Automatic Extraction of Concepts To Extend Radlex
http://vivo.ufl.edu/individual/n7372551622,0026-2862,Microvascular research MVR,Wide-Field Functional Imaging of Blood Flow and Hemoglobin Oxygen Saturation in the Rodent Dorsal Window Chamber
http://vivo.ufl.edu/individual/n7683385066,0905-7188,Scandinavian journal of medicine & science in sports,Intertask Comparison of Frontal Plane Knee Position and Moment in Female Athletes During Three Distinct Movement Tasks
http://vivo.ufl.edu/individual/n2128667727,0006-8950,Brain,The Neurology of Carbonic Anhydrase Type Ii Deficiency Syndrome
http://vivo.ufl.edu/individual/n5842247819,0956-540X,Geophysical Journal International,"Triggered Seismic Activity in the Liquine-Ofqui Fault Zone, Southern Chile, During the 2007 Aysen Seismic Swarm"
http://vivo.ufl.edu/individual/n8110573269,0022-3816,Journal of Politics,America's Global Advantage: Us Hegemony and International Cooperation
http://vivo.ufl.edu/individual/n2892537851,0735-9640,Plant Molecular Biology Reporter,Spatial and Temporal Expression of Cold-Responsive Dead-Box Rna Helicases Reveals Their Functional Roles During Embryogenesis in Arabidopsis Thaliana
http://vivo.ufl.edu/individual/n7293888825,0016-2663,Functional Analysis and Its Applications,On Macroscopic Dimension of Rationally Inessential Manifolds
http://vivo.ufl.edu/individual/n1813195263,0006-4971,Blood,Escalating Intravenous Methotrexate Improves Event-Free Survival in Children With Standard-Risk Acute Lymphoblastic Leukemia: a Report From the Children's Oncology Group
http://vivo.ufl.edu/individual/n3387996397,1096-7192,Molecular genetics and metabolism,Immune Modulation in Early Onset Pompe Disease
http://vivo.ufl.edu/individual/n4460480716,0269-9370,Aids,Toward a Robust Monitoring of Hiv Subtypes Distribution Worldwide
